company,website,category_simple,hr_stack_stage,why_plausible_acquirer,evidence_links,source_bucket,priority,research_status,exa_enriched,aviato_enriched,notes,date_added,last_updated,enrichment_date
SmartRecruiters,https://www.smartrecruiters.com/,ATS,Sourcing; Matching; Vetting,"Series E ($110M, Silver Lake, $1.5B valuation), 2K+ enterprise customers (Visa, LinkedIn, Twitter, McDonald's). Insight Partners repeat investor. Hiring success platform could integrate Careerspan coaching.",https://www.prnewswire.com/news-releases/smartrecruiters-raises-50m-series-d-to-accelerate-innovation-in-hiring-success-expand-in-europe-and-asia-300857797.html; https://hrtechfeed.com/smartrecruiters-raises-110-million-now-valued-at-1-5-billion/,ats,Tier A,notion_synced,yes,yes,Strong growth story; emphasis on 'hiring success' = coaching synergy. Candidate-centric positioning.,2026-01-12,2026-01-12,2026-01-12
Gusto,https://www.gusto.com/,HRIS/Payroll,Onboarding; Post-onboarding,"Series E ($175M, $10.5B valuation), 718M+ funding, 2M+ employees on platform. SMB/Mid-market focus. Acquired Symmetry + Ardius. Team-centric brand; coaching = engagement/retention module.",https://gusto.com/about/news/corporate/series-e-announcement; https://www.finsmes.com/2021/08/gusto-raises-175m-in-series-e-funding.html,hris,Tier A,notion_synced,yes,yes,Acquirer of talent infrastructure (Symmetry). Strong SMB distribution. Careerspan = employee success platform for Gusto customers.,2026-01-12,2026-01-12,2026-01-12
BambooHR,https://www.bamboohr.com/,HRIS,Onboarding; Post-onboarding,"Late stage ($2.5B valuation, Providence Equity growth round $125M). SMB HRIS leader. Team-focused positioning (employee experience + communications). Coaching = engagement module.",https://salestools.io/en/blog/bamboohr-raises-125m-growth; https://peoplemanagingpeople.com/tools/bamboohr-review/,hris,Tier A,notion_synced,yes,yes,Employee community + total rewards focus. Careerspan = internal mobility + career coaching layer for BambooHR platform.,2026-01-12,2026-01-12,2026-01-12
Workday,https://www.workday.com/,HCM/Enterprise software,Sourcing; Matching; Onboarding; Post-onboarding,"Public ($70B+), prolific acquirer (HiredScore, VNDLY, Peakon, etc). Skills Cloud + learning embedded. Team narrative = big enterprise acquirer appetite.",https://www.linkedin.com/pulse/workdays-strategic-acquisitions-pradeep-billa-z8zsc; https://www.channele2e.com/news/workday-acquires-msp-workforce-management-platform-vndly,hcm,Tier A,notion_synced,yes,yes,Strategic buyer with proven acquisition appetite. Coaching = career pathing + internal mobility within Workday platform.,2026-01-12,2026-01-12,2026-01-12
LinkedIn (Microsoft),https://www.linkedin.com/,Career network/Microsoft,Sourcing; Matching; Onboarding,"Microsoft-owned ($26.2B, 2016), 900M+ users. LinkedIn Hiring Assistant + Microsoft 365 integration. Careerspan = coaching layer for candidate prep + onboarding.",https://www.linkedin.com/posts/kristen-roby-dimlow_ai-is-transforming-talent-acquisition-but-activity-7387238829214064640-q-y_; https://www.linkedin.com/pulse/why-microsofts-acquisition-linkedin-strategically-sound-vempati,platform,Tier A,notion_synced,yes,yes,Massive distribution + team narrative fit. Coaching could be integrated into LinkedIn Learning + Hiring Assistant workflow.,2026-01-12,2026-01-12,2026-01-12
Harver (acquired Pymetrics),https://www.harver.com/,Talent assessment,Matching; Vetting,"Growth-stage, acquired Pymetrics ($40M funding) for behavioral AI. Assessment + coaching synergy = candidate readiness platform.",https://www.ets.org/ets-capital/news/harver-acquires-pymetrics-further-enhancing-talent-decision-capabilities-across-the-employee-lifecycle.html; https://huntscanlon.com/ai-job-matching-platform-pymetrics-secures-40-million-in-funding/,assessment,Tier B,notion_synced,yes,yes,Proven acquirer (Pymetrics). Coaching = post-assessment readiness module for candidates matched by Harver.,2026-01-12,2026-01-12,2026-01-12
Ashby,https://www.ashby.com/,ATS,Sourcing; Matching; Onboarding; Analytics,"Series D ($50M, Alkeon, 2025), 2,700+ customers (Shopify, Ramp, OpenAI, Snowflake). AI-native hiring OS with quality-of-hire focus. Team/coaching module = retention differentiator.",https://venturecapital.com/news/funding-events/aipowered-recruitment-platform-ashby-raises-50m-in-series-d-funding-round-v1; https://news.crunchbase.com/venture/ai-powered-hr-platform-ashby-raise/,ats,Tier A,notion_synced,yes,yes,"YC-backed, 135% ARR growth YoY, doubles customer base annually. Team skill leverage opportunity.",2026-01-12,2026-01-12,2026-01-12
Apollo.io,https://www.apollo.io/,Sales/GTM platform,Sourcing; Matching,"Series D ($100M, Bain Capital, $1.6B valuation, 2023). 500K+ customers, 270M verified B2B contacts. GTM platform could add coaching/readiness for hiring teams.",https://finance.yahoo.com/news/y-combinator-backed-apollo-io-051945118.html; https://www.cbinsights.com/company/zenprospect/financials,sales_platform,Tier B,notion_synced,yes,yes,Strong data + AI positioning; talent pool extension opportunity. Potential GTM cross-sell.,2026-01-12,2026-01-12,2026-01-12
Heidrick & Struggles,https://www.heidrick.com/,Executive search,Sourcing; Matching; Coaching,"PE-backed (Advent International, Corvex), $324M+ cash, no debt. Prolific acquirer (BTG, Atreus, Highland Partners). Leadership coaching = natural fit.",https://www.staffingindustry.com/news/global-daily-news/heidrick-deal-to-go-private-closes; https://huntscanlon.com/heidrick-struggles-plans-to-acquire-atreus/,search,Tier B,notion_synced,yes,yes,Team-centric M&A play. Coaching for executives + emerging talent. Premium positioning.,2026-01-12,2026-01-12,2026-01-12
Robert Half,https://www.roberthalf.com/,Staffing,Sourcing; Matching; Placement,"Public (NYSE:RHI), 10K+ employees, $140+ locations worldwide. Staffing + contingent labor play. Coaching = candidate readiness for placements (reduce failed onboards).",https://www.roberthalf.com/us/en/jobs/all/acquisitions; https://press.roberthalf.com/most-common-m-a-pain-points,staffing,Tier B,notion_synced,yes,yes,Massive distribution; focuses on candidate success. Coaching = hidden pain point solution.,2026-01-12,2026-01-12,2026-01-12
Deel,https://www.deel.com/,Global payroll/HRIS,Onboarding; Post-onboarding,"Series E ($300M, Ribbit, $17.3B valuation, 2025). 37K+ customers, $22B annual payroll. Global hiring + payroll + compliance. Coaching = onboarding/retention module for 150+ countries.",https://www.staffingindustry.com/news/global-daily-news/deel-raises-300-million-in-series-e-funding-round; https://www.unleash.ai/payroll/deel-hits-17-3-billion-valuation-with-new-300-million-series-e-funding/,payroll,Tier A,notion_synced,yes,yes,Acquired Atlantic Money; prolific acquirer. Global distribution. Careerspan = onboarding/mobility layer.,2026-01-12,2026-01-12,2026-01-12
Okta,https://www.okta.com/,Identity management,Infrastructure/compliance,"Public ($70B+), acquired Auth0 ($6.5B). Identity + workforce access. Coaching = people onboarding + secure access training module.",https://www.sec.gov/Archives/edgar/data/1660134/000119312521067561/d149091dex991.htm; https://www.okta.com/products/mergers-and-acquisitions/,identity,Tier B,notion_synced,yes,yes,Proven large-scale acquirer. Identity + coaching = secure people readiness platform.,2026-01-12,2026-01-12,2026-01-12
Qualtrics,https://www.qualtrics.com/,Experience management,Post-onboarding; Engagement,"PE-backed by Silver Lake ($12.5B 2023), acquired Press Ganey Forsta ($6.75B). Employee experience focus. Coaching = retention/engagement layer.",https://www.qualtrics.com/articles/news/qualtrics-to-be-acquired-by-silver-lake-and-cpp-investments-for-12-5-billion/; https://www.prnewswire.com/news-releases/qualtrics-to-invest-6-75-billion-in-press-ganey-forsta-acquisition-to-advance-ai-powered-experience-management-302576349.html,experience,Tier A,notion_synced,yes,yes,Prolific acquirer (largest recent: PressGaney $6.75B). Employee engagement focus. Coaching = XM completeness.,2026-01-12,2026-01-12,2026-01-12
Newton.ai,https://www.newton.ai/,AI recruiting,Sourcing; Matching,"AI-powered recruiting automation, 2017-founded. Candidate experience focus. Coaching = pre-hire readiness + soft-skills prep for candidates.",https://stanforddaily.com/2019/02/04/newton-ai-plans-to-shake-up-the-hiring-industry/; https://www.newton.ai/,ai_recruiting,Tier B,notion_synced,yes,yes,AI-native candidate matching. Coaching = interview prep + soft-skills confidence module.,2026-01-12,2026-01-12,2026-01-12
Findem,https://www.findem.ai/,AI talent sourcing,Sourcing,"Series B ($51M, recent), AI-powered talent dataset/sourcing. Coaching + Findem sourcing = candidate readiness from discovery to hire.",https://www.linkedin.com/posts/y-combinator_ashby-has-raised-50m-in-series-d-activity-7353529281601302529-857Q; https://hrtechedge.com/press-release/findem-raises-51-million-to-transform-how-companies-hire-with-the-worlds-largest-expert-labeled-talent-dataset/,sourcing,Tier B,notion_synced,yes,yes,Largest expert-labeled talent dataset. Sourcing + coaching = end-to-end candidate experience play.,2026-01-12,2026-01-12,2026-01-12
Eightfold.ai,https://www.eightfold.ai/,AI talent platform,Sourcing; Matching; Internal mobility,"Series E ($410M, SoftBank, IVP), internal talent mobility + skills intelligence. Coaching = career pathing completeness for internal + external talent.",https://tracxn.com/d/companies/eightfold/__hzp2PqsHKKqfWAKUvQEeCSQYLO_nGNqJLLquXs5rQFc; https://www.eightfold.ai/,ai_talent,Tier A,notion_synced,yes,yes,"Heavily funded, skills-first platform. Coaching = career readiness + internal mobility acceleration.",2026-01-12,2026-01-12,2026-01-12
Kforce,https://www.kforce.com/,Tech staffing roll-up,Sourcing; Matching; Placement,"Public (NYSE: KFRC), $1.3B+ IT staffing revenue, 18K+ contractors. Tech recruiting expertise. Coaching = pre-placement + candidate readiness module.",https://www.kforce.com/; https://tracxn.com/d/companies/kforce/,recruiting_agency,Tier B,notion_synced,yes,yes,5 acquisitions in 5 years; known acquirer. Talent coaching = retention differentiator.,2026-01-12,2026-01-12,2026-01-12
TrueBlue,https://www.trueblue.com/,Staffing roll-up,Sourcing; Matching; Placement,"Public (NYSE: TBI), 5th-largest US staffing firm, prolific acquirer (Seaton, HSP, PeopleScout). Coaching = placement success + retention.",https://www.trueblue.com/; https://www.staffingindustry.com/news/global-daily-news/trueblue-enters-healthcare-staffing-market-with-acquisition,recruiting_agency,Tier A,notion_synced,yes,yes,Aggressive acquirer (5+ deals past 5 years). Diversifying into healthcare. Coaching = placement readiness module.,2026-01-12,2026-01-12,2026-01-12
Hudson Global (Star Equity),https://www.hudsontalent.com/,RPO/staffing roll-up,Sourcing; Matching; RPO,"NASDAQ-listed (rebranded Star Equity), RPO leader (17 years on Baker's Dozen), prolific acquirer (Executive Solutions, Alpha Consulting, others).",https://www.hudsontalent.com/; https://www.staffingindustry.com/news/global-daily-news/hudson-global-merger-deal-aims-to-bring-shareholder-value,recruiting_agency,Tier A,notion_synced,yes,yes,Global RPO leader. Coaching = candidate/employee readiness for large-scale hiring programs.,2026-01-12,2026-01-12,2026-01-12
TEKsystems (Allegis Group),https://www.teksystems.com/,Tech staffing leader,Sourcing; Matching; Placement,"Private (Allegis Group $3.9B IT staffing revenue, #1 US), 16K+ employees. Tech talent expertise. Coaching = candidate success + retention.",https://www.teksystems.com/; https://take2it.com/largest_it_staffing_firms_in_the_us_2025/,recruiting_agency,Tier B,notion_synced,yes,yes,#1 US IT staffing firm by revenue. Coaching = placement success/readiness.,2026-01-12,2026-01-12,2026-01-12
Fountain,https://www.fountain.com/,High-volume ATS,Sourcing; Matching; Onboarding,"Series C+ ($185M raised), focus on hourly/high-volume hiring (9.2M+ hires). Coaching = onboarding + readiness for 500K+ hourly placements.",https://www.fountain.com/; https://techcrunch.com/2022/06/15/fountain-raises-100m-to-expand-its-applicant-tracking-system/,ats,Tier B,notion_synced,yes,yes,Massive high-volume hiring reach. Coaching = onboarding success module for hourly workers.,2026-01-12,2026-01-12,2026-01-12
Pontoon,https://www.pontoonsolutions.com/,MSP/Direct Sourcing,Sourcing; Matching; Managed services,"Direct sourcing + MSP platform, enterprise clients. Coaching = talent readiness + retention for managed vendor populations.",https://www.pontoonsolutions.com/; https://www.linkedin.com/posts/pontoon-solutions_streamlining-msp-supply-chains-for-peak-performance/,msp,Tier B,notion_synced,yes,yes,MSP + direct sourcing play. Coaching = talent readiness for managed vendor networks.,2026-01-12,2026-01-12,2026-01-12
iCIMS,https://www.icims.com/,ATS/HRIS,Sourcing; Matching; Onboarding; Post-onboarding,"PE-backed (Vista Equity → TA Associates, 2022), $305M revenue, market-leading talent cloud platform. Aggressive acquirer (SkillSurvey, Candidate.ID, Jibe, TextRecruit, Apli 2025). Coaching module = candidate readiness + quality-of-hire enhancement for 5K+ enterprise clients.",https://www.icims.com/press-release/ta-associates-investment/; https://www.icims.com/company/acquisitions/,ats,Tier A,candidate,yes,yes,Prolific acquirer (see LinkedIn/Crunchbase). Strategic Leader Fosway 2025. Coaching = interview prep + onboarding acceleration.,2026-01-12,2026-01-12,2026-01-12
SmartRecruiters,https://www.smartrecruiters.com/,ATS,Sourcing; Matching; Onboarding,"Series E ($110M, Insight Partners), enterprise talent acquisition platform. 4,000+ customers globally. Strong AI/ML focus. Coaching = candidate engagement + recruiter enablement.",https://www.smartrecruiters.com/press-release/smartrecruiters-raises-110-million/; https://www.cbinsights.com/company/smartrecruiters/financials,ats,Tier A,candidate,yes,yes,Strong enterprise customer base. Marketplace approach. Coaching = candidate experience + quality-of-hire.,2026-01-12,2026-01-12,2026-01-12
Gusto,https://gusto.com/,HRIS/Payroll,Onboarding; Post-onboarding,"Series E ($175M, T. Rowe Price, $9.5B valuation 2021), 300K+ SMB customers. Payroll + HR + benefits platform. Acquired Ardius, Symmetry. Coaching = employee development + retention for SMB.",https://techcrunch.com/2021/08/03/gusto-raises-175m-at-9-5b-valuation/; https://gusto.com/company/press,payroll,Tier A,candidate,yes,yes,SMB-focused; career coaching + development = retention play for their 300K+ customers. Strong people-ops positioning.,2026-01-12,2026-01-12,2026-01-12
Skillsoft,https://www.skillsoft.com/,Learning/L&D,Post-onboarding,"Public (NYSE:SKIL), $560M+ revenue, enterprise learning platform. Acquired Codecademy, Pluma. Coaching + learning = career development completeness. Strong B2B distribution.",https://investor.skillsoft.com/news-releases/; https://www.skillsoft.com/press-release/skillsoft-completes-acquisition-of-codecademy/,learning,Tier A,candidate,yes,yes,Acquired Pluma coaching already! Direct synergy. Learning + coaching = career architecture. Public company = deal capacity.,2026-01-12,2026-01-12,2026-01-12
BambooHR,https://www.bamboohr.com/,HRIS,Onboarding; Post-onboarding,"Late stage ($2.5B valuation, Providence Equity), 33K+ customers (SMB focus). HRIS + performance + onboarding. Coaching = retention + employee development module for SMB.",https://www.bamboohr.com/blog/bamboohr-acquires-trax-payroll/; https://www.prnewswire.com/news-releases/bamboohr-receives-investment-from-providence-equity-partners-301294178.html,hris,Tier A,candidate,yes,yes,Providence Equity backing = M&A capacity. SMB market leader. Coaching fills employee development gap.,2026-01-12,2026-01-12,2026-01-12
Workday,https://www.workday.com/,HCM/Enterprise software,Sourcing; Matching; Onboarding; Post-onboarding,"Public (NASDAQ:WDAY, $75B+ market cap), acquired Peakon ($700M), HiredScore, VNDLY. Enterprise HCM leader. Coaching = employee experience completeness + talent optimization.",https://www.workday.com/en-us/company/newsroom/press-releases.html; https://newsroom.workday.com/2021-02-01-Workday-Completes-Acquisition-of-Peakon,hcm,Tier A,candidate,yes,yes,Prolific acquirer. Peakon = employee voice. Coaching = career development + retention. BetterUp investor (Workday Ventures).,2026-01-12,2026-01-12,2026-01-12
LinkedIn (Microsoft),https://www.linkedin.com/,Career network/Microsoft,Sourcing; Matching; Post-onboarding,"Microsoft ($26.2B acquisition), 1B+ members. LinkedIn Learning, Recruiter, Jobs. Coaching + LinkedIn = career development ecosystem. Microsoft M&A muscle.",https://news.microsoft.com/announcement/microsoft-acquires-linkedin/; https://www.linkedin.com/company/linkedin/about/,network,Tier A,candidate,yes,yes,Career platform + coaching = natural fit. Microsoft integration potential. LinkedIn Learning synergy. Massive distribution.,2026-01-12,2026-01-12,2026-01-12
Harver (acquired Pymetrics),https://www.harver.com/,Talent assessment,Matching; Vetting,"Acquired Pymetrics (2022), PE-backed. AI-powered talent assessment + matching. Coaching = pre-hire readiness + soft-skills development for candidates.",https://harver.com/blog/harver-acquires-pymetrics/; https://www.prnewswire.com/news-releases/harver-acquires-pymetrics-301622063.html,assessment,Tier B,candidate,yes,yes,Pymetrics = AI-based soft skills assessment. Coaching = candidate readiness + interview prep. Natural extension.,2026-01-12,2026-01-12,2026-01-12
Checkr,https://checkr.com/,Verification tech,Vetting,"Series E ($250M, Fidelity, $5B valuation 2021). Background check leader (Uber, Lyft, Instacart). Fair chance hiring focus. Coaching = candidate readiness + re-entry support.",https://checkr.com/company/press; https://techcrunch.com/2021/09/29/checkr-raises-250m-at-a-5b-valuation/,verification,Tier B,candidate,yes,yes,Fair chance hiring mission aligns with Careerspan coaching narrative. High-volume hiring customers.,2026-01-12,2026-01-12,2026-01-12
Workable,https://www.workable.com/,ATS,Sourcing; Matching,"Series C ($50M, Zouk Capital), 27K+ customers (SMB focus). ATS + sourcing + AI screening. Coaching = candidate experience + hiring quality.",https://www.workable.com/newsroom/; https://techcrunch.com/2019/04/24/workable-raises-50m/,ats,Tier B,candidate,yes,yes,SMB-focused ATS. Growing customer base. Coaching = differentiation in crowded ATS market.,2026-01-12,2026-01-12,2026-01-12
Guild Education,https://www.guild.com/,Career platform,Post-onboarding,"Series F ($186M, General Catalyst, $4.4B valuation 2022). Education-as-benefit for Fortune 500s. 730+ employees. Coaching = career pathing + talent mobility for employer clients.",https://guild.com/press/; https://www.cbinsights.com/company/guild-education/financials,career,Tier A,candidate,yes,yes,Education-as-benefit + coaching = complete career development. Fortune 500 distribution. Strong M&A history (Nomadic Learning).,2026-01-12,2026-01-12,2026-01-12
