Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Strategic Thinking (2017),"Strategic thinking is the ability to think on a big and small scale, long and short term, and into the past and the present. While strategic thinking is a valuable skill for everyone in an organization, it becomes increasingly essential as you ascend the ladder. In fact, you may have a difficult time being promoted or succeeding as a leader without it. Yet, no one formally teaches strategic thinking—so it's critical to take the initiative and learn how to do it yourself. This course teaches managers and leaders how to use strategic thinking to guide the direction of their teams and come up with solutions to key business problems. Career and personal branding expert Dorie Clark shows you how to carve out time to think about strategy, gather data, learn from the past, create a vision for the future, and implement strategic thinking within your team.",Course,2019-07-21 09:56 UTC,N/A,false,N/A,
Learning Data Analytics: 1 Foundations,"<p>Are you interested in pursuing a career in data analytics? In this course, instructor Robin Hunt brings you into the mind of an analyst. She defines and explains foundational concepts, such as how to think about data, how to work with others in different roles to get the data you need, and the tools you need to work with data, such as Excel and Microsoft Access. She introduces you to SQL queries, PowerBI, and more. Robin goes into syntax and explains how to interpret the data you see, find the data you need, and clean the data for effective data work. She explains data governance and how to ask the right questions of different departments to gather the data you need. Robin shows how to work with data, including how to import data, work with flat files such as CSVs, and create datasets for others. Robin goes into what cleaning and modeling mean, as well as how to use Power Query in Excel. She has also added challenge/solution sets in each chapter to help you evaluate your skills. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2022-12-21 13:13 UTC,N/A,false,N/A,
Nano Tips for Career Success and Daily Wins with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore strategies for career success and daily wins with award-winning leadership strategist and peak performance specialist Shadé Zahrai. Learn how to identify career growth areas, address burnout, track achievements, celebrate effort, balance skills with opportunities, and develop daily habits. By the end of this course, you’ll be prepared to manage emotionally charged situations, disrupt procrastination, and improve mental clarity and well-being.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-09-01 12:02 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2022-11-22 16:38 UTC,N/A,false,N/A,
"The Persuasion Code, Part 3: The Neuroscience of Closing Sales","In the end, your success depends on your capacity to close. While many sales methodologies present various closing techniques, they fail to recognize that this delicate phase of your sales journey is about managing your prospects’ fear of regret. In this course, neuromarketing expert Patrick Renvoise will demonstrate the importance of understanding the Primal Brain. This brain, famously called System 1 by Daniel Kahneman—2002 Nobel Prize winner and author of Thinking, Fast and Slow—drives fear, and it becomes very active during the fearful last moment when a decision needs to be made. Using a unique three-step process, learn how to better manage your prospect fear of regret. Find out how to answer the objections that may arise at this point of your sales process. Finally, after a brief discussion on the ethics of neuropsychology, Patrick shows you that preparation and practice are key to get your prospects to say yes.",Course,2023-06-15 21:59 UTC,N/A,false,N/A,
Generative AI for Product Managers,"<p>How can generative AI be used ethically to enhance and extend a product manager's role across the product lifecycle? In this course, Meta product leader Dr. Marily Nika shares key considerations for using cutting-edge tools from generative AI such as ChatGPT to streamline and manage workflows more effectively in product management.</p><p>Learn how to leverage AI to help generate new product ideas, validate backlog requests, draft and implement user segmentation and research plans, and create prototypes for product features and components to define a minimum viable product (MVP). Along the way, Marily offers insights on navigating strategic pivots and redefinitions as well as product testing frameworks, marketing content plans, and supplemental product releases.</p>",Course,2025-10-05 07:30 UTC,N/A,false,N/A,
Logo Design: Creating Brand Extensions,"Brand extensions for logo design refer to the use of an existing brand’s logo and visual identity to launch new products or services in a different category. This can help to leverage the brand’s existing equity and reputation to introduce new offerings to the market. For example, a company known for its athletic wear may use its logo and visual identity to launch a line of sports equipment or nutritional supplements. In this course, designer and illustrator Von Glitschka shows you how to create a cohesive brand experience for consumers and increase the brand’s overall visibility and recognition. In addition to guiding you through the process, Von also highlights specifics like setting up final deliverables and a brand style guide.",Course,2025-11-11 19:57 UTC,N/A,false,N/A,
Chat with Your Data Using ChatGPT,"Elevate your expertise in AI-driven data analysis and customer interaction and find out how to integrate conversational AI into data interaction with ChatGPT and LangChain. In this hands-on course, distinguished tech leader and innovator Kesha Williams guides you through building a ChatGPT-powered chatbot using LangChain, focusing on key topics like prompt engineering, vector databases, data retrieval, and question answering. By the end of the course, you will understand how to develop complex LLM applications, handle vector databases, and create AI solutions that intelligently interact with and extract insights from diverse data sources.",Course,2025-07-11 17:58 UTC,N/A,false,N/A,
Creating Your First Marketing Videos on LinkedIn Nano Tips with Shay Rowbottom,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, Shay Rowbottom teaches expert tips on creating and sharing your videos on LinkedIn to market your business. Shay explains the factors to consider when making your first video, like topics to cover, video quality concerns, and video lengths. She then explains how to use your videos as a marketing tool to get you noticed.",Course,2025-08-22 19:47 UTC,N/A,false,N/A,
Nano Tips for Strategic Thinking with Lisa Bodell,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in seconds. In this installment, Lisa Bodell offers tips on how to engage in consistent strategic planning techniques to hone in on an effective strategy, analyze competitors, and simplify decision-making.",Course,2025-04-11 09:29 UTC,N/A,false,N/A,
Demystifying Agentic AI with ChatGPT: Elevate Your Skills and Unlock New Potential,"Explore the power of agentic AI in this course with instructor Jules White. Jules simplifies the concept of agentic AI, helping you understand how to interact with and harness these intelligent agents effectively. Imagine agents autonomously scheduling meetings, drafting tailored reports, or even managing customer inquiries—all while you focus on strategic tasks. Learn how these agents work and gain the fundamental knowledge to start building AI in a new way, revolutionizing your approach to productivity and innovation.",Course,2025-08-09 13:19 UTC,N/A,false,N/A,
"Synthetic Data as the Future of AI Privacy, Explainability, and Fairness: An Introduction for Data Scientists and Data Executives","<p>The European Commission’s JRC sees synthetic data as “the key enabler for artificial intelligence,” and analyst firm Gartner predicts that, by 2024, 60% of all AI training data will be synthetic—yet many data and AI professionals are not yet familiar with this privacy-enhancing technology. In this course, synthetic data and privacy expert Alexandra Ebert teaches you the fundamentals of AI-generated synthetic data. Learn how synthetic data can help you stay in compliance with privacy laws. Find out what AI-generated synthetic data is and go over its benefits and limitations. Explore how synthetic data can support your organization’s strategic objectives. Dive into ways to assess synthetic data’s quality and discover best practices for getting started with synthetic data and introducing it within your organization. Plus, learn about different ways synthetic data is used, particularly in the context of Responsible AI or Ethical AI.</p>",Course,2025-06-06 17:33 UTC,N/A,false,N/A,
"Italian, Part 4: Using and Expanding Your Skills","<p>Explore the beauty and diversity of Italy’s history, culture, and cuisine as you learn how to handle real-life conversations in Italian. Tuscany is perhaps Italy’s most celebrated and popular region, and the cradle of the Renaissance. This course—the fourth in a four-part series from The Great Courses covers Tuscany's breathtaking medieval cities, beloved food specialties, and iconic artists and writers. See how the <i>passato prossimo</i> tense is used with the auxiliary verb ""essere."" Study expressions of time, and practice your skills in describing the life of Florentine painter Sandro Botticelli.</p>

<p><b>About the instructor</b><br><br>
Kristina Olson is an associate professor of Italian and the Italian program coordinator at George Mason University, where she has taught Italian language, literature, and cinema since 2005. She earned her PhD in Italian from Columbia University. Professor Olson is the author of <i>Courtesy Lost: Dante, Boccaccio, and the Literature of History</i> and several articles on Dante, Boccaccio, and Petrarch. She is the coeditor of <i>Open City: Seven Writers in Postwar Rome</i>; <i>Boccaccio 1313–2013</i>; and the second edition of <i>Approaches to Teaching Dante’s Divine Comedy</i> with the Modern Language Association. Professor Olson is the president of the American Boccaccio Association and was the vice president of the Dante Society of America.</p>",Course,2025-07-31 00:30 UTC,N/A,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2022-07-21 19:19 UTC,N/A,false,N/A,
Nano Tips for Understanding AI's Impact to Business with Marco Andre,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Marco Andre offers tips on understanding the impact of artificial intelligence in business, and how leaders can  become more productive and creative at work by thinking about AI first.",Course,2025-02-04 18:20 UTC,N/A,false,N/A,
Java Object-Oriented Programming,"<p>Are you familiar with Java but want to get the most out of your Java programs? In this course, Kathryn Hodge teaches the basics of object-oriented programming in Java, so you can write code that’s secure, scalable, and easier to troubleshoot. Kathryn begins by showing how object-oriented principles are embedded into the Java language from the first code file you create. She looks at how classes, instances, and constructors embody the idea of representing real-life objects in code. Kathryn not only shows how to apply object-oriented principles in your own programs, but also explains how Java leverages these principles behind the scenes. While many resources about object-oriented programming focus on abstract examples, the goal of this course is to get away from the abstract and focus more on practical examples of these principles in Java. Along with deep dives into the source code, this course also provides several challenges and solutions to help you apply what you’ve learned.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/java-foundations-professional-certificate-by-jetbrains"" target=""_blank"">Professional Certificate</a> from JetBrains.</p>",Course,2022-08-19 15:02 UTC,N/A,false,N/A,
Nano Tips for Managing Gen Z with Watchen Nyanue,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Watchen Nyanue Hampton—thought leader, career architect, and the founder of I Choose The Ladder—as she shares practical, easy-to-use strategies for successfully engaging and managing Gen Z employees.</p><p>Learn how to identify and implement authentic diversity practices, communicate the purpose behind work tasks and projects, tailor career development paths, adjust your communication style, leverage microlearning for professional development, and recognize and reward your employees. Along the way, Watchen shows you how to think globally and act locally, as well as create opportunities for mentoring. By the end of this course, you’ll also be prepared to enhance transparency, build your credibility, and prioritize getting to know your employees.</p>",Course,2025-02-21 10:31 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728380,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728380,Course,2019-07-21 10:57 UTC,N/A,false,N/A,
Navigating Personal Trauma and Triggers at Work,"In this course, trauma expert Dr. Mariel Buqué explores how to navigate past traumas and triggers that may affect us while we are at work. She will guide learners through identifying ways traumas can affect the ways we respond to situations and how we can navigate situations that trigger a stress response, including ways to proactively mitigate triggers, ways to calm our nervous systems, build metacognition, increase cognitive flexibility, reframe challenging situations, boost our resilience, and manage lingering emotions. She also discusses ways to know how and when to disclose past traumas at work and how to become a more trauma-informed colleague.",Course,2025-02-27 02:27 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728382,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728382,Course,2021-05-15 11:41 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4598000,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4598000,Course,2024-06-22 02:41 UTC,N/A,false,N/A,
Pitching Yourself for Opportunity,"<p>Every conversation presents an opportunity to make a great impression. In this course, Jodi Glickman, CEO and Founder of GreatOnTheJob.com, guides you through how to craft a compelling pitch with thought and intention so you can be persuasive, memorable, and able to reach your goals. Jodi shares the fundamental framework of leading with your destination, crafting your backstory, and then connecting the dots.  She covers pitch basics (it’s a dialogue, not a monologue!), cautions against mistakes to avoid, and shares why no two pitches are ever the same. Plus, Jodi offers behind-the-scenes coaching on real-life examples of how to try out, practice, and improve your pitch.</p>",Course,2025-08-23 15:10 UTC,N/A,false,N/A,
Marketing Strategy Case Studies from Leading Brands (2022),"One of the best ways to learn more about what makes a marketing strategy successful is to study the lessons of leading brands and their top-performing marketing campaigns. In this audio-only course, marketing consultant and career coach Brian Honigman explores case studies in successful marketing to drive your creative inspiration, to give you tactical recommendations, and to teach how to mitigate risks by improving your overall marketing performance.<br><br>Learn about distinctive, impactful campaigns from more than a dozen industry case studies. Discover the secrets and top strategies of both B2B and B2C marketing teams, exploring what worked, what didn’t work, and lessons learned along the way. With examples from Chipotle, Dove, SAP, Peloton, and TOMS, as well as stories from start-ups and government agencies, Brian gives you insights that you can apply to your own work to create more successful marketing campaigns.",Course,2023-06-22 19:14 UTC,N/A,false,N/A,
AutoCAD 2025 Essential Training,"AutoCAD 2025 is a powerful designing and drafting software used to create precise 2D and 3D designs. In this course, learn how to go beyond the basics covered in <i>Learning AutoCAD 2025</i>. Shaun Bryant covers how to use the ribbon, choose workspaces, and use the ViewCube. Shaun also demonstrates how to manage units and options, draw and modify objects, work with dimensioning techniques, and use attributes, tables, and external references. Join Shaun in this course to learn how to use AutoCAD competently in any industry, including architecture, engineering, construction, manufacturing, or product design.",Course,2025-07-07 13:38 UTC,N/A,false,N/A,
Sharing Your Expertise Online Nano Tips with Kim Kaupe,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, Kim Kaupe teaches tips to get started sharing your expert content online. Kim starts with the basics: what should you be sharing, and how? She then covers some tips on how to elevate your content, including nurturing responses and community engagement, engaging other creators, increasing your Google search visibility, and more.",Course,2022-12-11 20:40 UTC,N/A,false,N/A,
Build with AI: Creating AI Agents with OpenAI's Responses API,"Learn to build intelligent business automation tools by creating your own agent. In this hands-on course, senior data engineer and AI engineer Vlad Gheorghe gives you hands-on experience through building a sales support agent. Use the latest Responses API and o3 model from OpenAI to build an AI agent that automatically identifies prospects, researches their backgrounds, calculates optimal contact timing, and generates personalized sales briefs. Starting with OpenAI Playground, you will learn how to build powerful AI agents without complex programming. When you complete this course, you'll have a working automation tool that demonstrates real-world AI integration skills.",Course,2025-10-23 12:29 UTC,N/A,false,N/A,
Advance Your Python Skills for Data Science,"Quickly learn the general programming principles and methods for Python, and then begin applying that knowledge to using Python in data science-related development.				 					 					",Learning Path,2021-01-24 21:19 UTC,N/A,false,N/A,
Getting Started with Microsoft Excel,"New to Microsoft Excel? Get up to speed fast with the world's #1 spreadsheet program. In this learning path, you can learn to create and format basic spreadsheets in Excel.",Learning Path,2025-11-01 21:47 UTC,N/A,false,N/A,
Advance as a Digital Marketing Specialist,"Develop your digital marketing skills to effectively create new opportunities for your business as a digital marketing specialist. From customer touch points and content strategy to SEO and analytics, this path guides you through the best practices and principles of digital marketing.",Learning Path,2019-06-29 09:50 UTC,N/A,false,N/A,
Keys to Success in Personal Finance,"Get ahead and take control of your finances with this learning path, which teaches you how to manage and find balance in your personal finances, as well as how to invest when you're ready.",Learning Path,2019-06-29 09:54 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:59b7049f498ec518b0f1805d,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:59b7049f498ec518b0f1805d,Learning Path,2019-06-29 10:22 UTC,N/A,false,N/A,
Master SQL for Data Science,SQL database skills are consistently among the most sought after in the world of data science. Master the skills needed for data science project specialists and develop a solid foundation of knowledge for working with SQL engineers.,Learning Path,2021-01-11 22:34 UTC,N/A,true,N/A,
Master Microsoft Excel,Employers around the world cite Microsoft Excel as one of the most sought-after skills for any new hire. This learning path helps you become an Excel power user—covering everything from functions and formatting to PivotTables and dashboards.,Learning Path,2020-11-19 22:18 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-07-18 16:46 UTC,N/A,false,N/A,
Building Agentic AI Systems,"This course provides knowledge on how to design agentic AI systems, a rapidly evolving field that focuses on AI systems capable of autonomous decision-making and adaptive learning. Instructor Rashim Mogha shares insights into the tools, frameworks, and reference architectures. By the end of the course, with the help of a use case and project, you should have a comprehensive understanding of how to develop agentic AI systems that transform operations, unlock new opportunities, and shape the future of intelligent collaboration.",Course,2025-08-16 02:45 UTC,N/A,false,N/A,
Writing a Press Release,"Learn how to write press releases: formal, official announcements regarding something new or significant about you or your business. Done correctly, press releases can promote your brand, distribute important information, and even improve your SEO. In this short writing course, PR expert Andrea Holland explains how to write an effective press release. She begins with a discussion of what press releases are and then walks you through finding your story, preparing to write, getting your headline and subhead down, crafting body copy, adding your boilerplate, and distributing the release through a newswire. Follow along using the handout Andrea has included with the course—a template she uses to kick-start the writing process for her own clients.",Course,N/A,N/A,true,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2025-06-17 18:58 UTC,N/A,false,N/A,
Influencer Interview: Oprah Winfrey,"Go behind the scenes with Oprah Winfrey and LinkedIn CEO Jeff Weiner as they discuss Oprah's career, the power of intention, and SuperSoul Sunday.<br><br>
 
In the first segment, Oprah discusses her start in television, the guiding force behind her show, and how her current work is all about connection, spirituality, and the earth. In the second, Oprah talks about the power of belief and intention, and how to determine what ""you ultimately want to do"" and the joy of ""getting it."" In the final segment, Oprah talks about SuperSoul Sunday and how we are all looking for validation.",Course,2019-11-19 00:29 UTC,N/A,false,N/A,
Postman Essential Training,"<p><b>Suggested prerequisites</b></p>
<ul>
<li>A basic understanding of the command line</li>
<li>A basic understanding of HTTP requests</li>
</ul>
<p><b>Projects</b></p>
<ul>
<li>Add variables to the URL and body of a request.</li>
<li>Write your own status, header, and body assertions for a Postman request.</li>
<li>Write assertions for complicated JSON responses, including responses in arrays and in nested objects.</li>
</ul>
<p>This course introduces the process of writing, running, and automating API tests with Postman. Instructor Kristin Jackvony explains what to test in an API endpoint, along with how to use authentication tokens in an API call, write good assertions, create test collections, and how to run the test collections from the command line.</p>",Course,2025-05-31 12:52 UTC,N/A,false,N/A,
Nano Tips to Build Grit for Mental Toughness with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, learn how grit is a hallmark of high achievers in every domain, and acquire actionable tips and techniques to help you succeed in your career and life from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Gather strategies to build your grit, understand the behaviors and attitudes you can adopt to develop mental toughness, and learn essential techniques to help you embrace challenges with open arms.",Course,2025-10-16 19:34 UTC,N/A,false,N/A,
Boosting Your Time Management with AI Tools,"In this course, instructor Brad Aeon shows you how to harness the power of artificial intelligence to improve your time management, enhance productivity, and achieve your goals more efficiently. Get started by exploring how AI can aid in defining and setting clear and actionable goals through mental contrasting. Discover techniques to overcome procrastination, break your goals into smaller, more approachable tasks, and create more optimized workflows and schedules. Along the way, Brad outlines how AI can help you prioritize tasks on-the-fly, detox your to-do list, and automate repetitive work. By the end of this course, you’ll be prepared to use AI to turn notes into actionable plans and reflect on your progress for continuous improvement.",Course,2025-07-07 12:12 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2023-01-29 12:07 UTC,N/A,false,N/A,
Understanding and Supporting Asian Employees,"Underrepresented employees face unique challenges in the workplace, and understanding how to support them in these challenges is key to building a more inclusive workplace. Dr. Sarah-SoonLing Blackburn shows you how to get started. She begins with important terminology and breaks down the model minority myth. Dr. Blackburn explains why lived experiences matter in the workplace and goes over several issues that impact Asian employees at work. She points out that the Asian community is not a monolith and discusses ways to build a more meaningfully inclusive workplace culture. Dr. Blackburn covers several steps you can take to support Asian employees, such as making space for discussion and speaking up against bias. She concludes by describing how everyone has a role to play in creating inclusive workplace environments. 
<br><br>
Note: This course contains US-based examples and scenarios; however, learners around the world may still find the concepts applicable.",Course,2022-12-22 04:05 UTC,N/A,false,N/A,
The State of AI and Copyright,"The issue of copyright in AI-generated content is a moving target, but clear patterns are emerging. In this conversation, LinkedIn Learning Senior Staff Instructor Garrick Chow asks AI experts and IP attorneys Matt Hervey and Jennifer Maisel to weigh in with their thoughts on this crucial aspect of Generative AI and its potential impact on the future of content creation and ownership.",Course,2025-11-10 11:38 UTC,N/A,false,N/A,
